1,Sheffield United,Liverpool,1,1,D,2006-2007
2,Arsenal,Aston Villa,1,1,D,2006-2007
3,Everton,Watford,2,1,H,2006-2007
4,Newcastle United,Wigan Athletic,2,1,H,2006-2007
5,Portsmouth,Blackburn Rovers,3,0,H,2006-2007
6,Reading,Middlesbrough,3,2,H,2006-2007
7,West Ham United,Charlton Athletic,3,1,H,2006-2007
8,Bolton Wanderers,Tottenham Hotspur,2,0,H,2006-2007
9,Manchester United,Fulham,5,1,H,2006-2007
10,Chelsea,Manchester City,3,0,H,2006-2007
11,Watford,West Ham United,1,1,D,2006-2007
12,Tottenham Hotspur,Sheffield United,2,0,H,2006-2007
13,Aston Villa,Reading,2,1,H,2006-2007
14,Manchester City,Portsmouth,0,0,D,2006-2007
15,Blackburn Rovers,Everton,1,1,D,2006-2007
16,Charlton Athletic,Manchester United,0,3,A,2006-2007
17,Fulham,Bolton Wanderers,1,1,D,2006-2007
18,Middlesbrough,Chelsea,2,1,H,2006-2007
19,Liverpool,West Ham United,2,1,H,2006-2007
20,Charlton Athletic,Bolton Wanderers,2,0,H,2006-2007
21,Fulham,Sheffield United,1,0,H,2006-2007
22,Tottenham Hotspur,Everton,0,2,A,2006-2007
23,Watford,Manchester United,1,2,A,2006-2007
24,Wigan Athletic,Reading,1,0,H,2006-2007
25,Manchester City,Arsenal,1,0,H,2006-2007
26,Aston Villa,Newcastle United,2,0,H,2006-2007
27,Blackburn Rovers,Chelsea,0,2,A,2006-2007
28,Middlesbrough,Portsmouth,0,4,A,2006-2007
29,Everton,Liverpool,3,0,H,2006-2007
30,Arsenal,Middlesbrough,1,1,D,2006-2007
31,Bolton Wanderers,Watford,1,0,H,2006-2007
32,Chelsea,Charlton Athletic,2,1,H,2006-2007
33,Newcastle United,Fulham,1,2,A,2006-2007
34,Portsmouth,Wigan Athletic,1,0,H,2006-2007
35,Sheffield United,Blackburn Rovers,0,0,D,2006-2007
36,Manchester United,Tottenham Hotspur,1,0,H,2006-2007
37,West Ham United,Aston Villa,1,1,D,2006-2007
38,Reading,Manchester City,1,0,H,2006-2007
39,Charlton Athletic,Portsmouth,0,1,A,2006-2007
40,Bolton Wanderers,Middlesbrough,0,0,D,2006-2007
41,Everton,Wigan Athletic,2,2,D,2006-2007
42,Sheffield United,Reading,1,2,A,2006-2007
43,Watford,Aston Villa,0,0,D,2006-2007
44,Chelsea,Liverpool,1,0,H,2006-2007
45,Blackburn Rovers,Manchester City,4,2,H,2006-2007
46,Tottenham Hotspur,Fulham,0,0,D,2006-2007
47,West Ham United,Newcastle United,0,2,A,2006-2007
48,Manchester United,Arsenal,0,1,A,2006-2007
49,Liverpool,Newcastle United,2,0,H,2006-2007
50,Liverpool,Tottenham Hotspur,3,0,H,2006-2007
51,Arsenal,Sheffield United,3,0,H,2006-2007
52,Aston Villa,Charlton Athletic,2,0,H,2006-2007
53,Fulham,Chelsea,0,2,A,2006-2007
54,Manchester City,West Ham United,2,0,H,2006-2007
55,Middlesbrough,Blackburn Rovers,0,1,A,2006-2007
56,Wigan Athletic,Watford,1,1,D,2006-2007
57,Reading,Manchester United,1,1,D,2006-2007
58,Newcastle United,Everton,1,1,D,2006-2007
59,Portsmouth,Bolton Wanderers,0,1,A,2006-2007
60,Bolton Wanderers,Liverpool,2,0,H,2006-2007
61,Charlton Athletic,Arsenal,1,2,A,2006-2007
62,Chelsea,Aston Villa,1,1,D,2006-2007
63,Everton,Manchester City,1,1,D,2006-2007
64,Sheffield United,Middlesbrough,2,1,H,2006-2007
65,West Ham United,Reading,0,1,A,2006-2007
66,Blackburn Rovers,Wigan Athletic,2,1,H,2006-2007
67,Manchester United,Newcastle United,2,0,H,2006-2007
68,Tottenham Hotspur,Portsmouth,2,1,H,2006-2007
69,Watford,Fulham,3,3,D,2006-2007
70,Wigan Athletic,Manchester United,1,3,A,2006-2007
71,Arsenal,Watford,3,0,H,2006-2007
72,Aston Villa,Tottenham Hotspur,1,1,D,2006-2007
73,Liverpool,Blackburn Rovers,1,1,D,2006-2007
74,Manchester City,Sheffield United,0,0,D,2006-2007
75,Middlesbrough,Everton,2,1,H,2006-2007
76,Portsmouth,West Ham United,2,0,H,2006-2007
77,Reading,Chelsea,0,1,A,2006-2007
78,Newcastle United,Bolton Wanderers,1,2,A,2006-2007
79,Fulham,Charlton Athletic,2,1,H,2006-2007
80,Wigan Athletic,Manchester City,4,0,H,2006-2007
81,Charlton Athletic,Watford,0,0,D,2006-2007
82,Chelsea,Portsmouth,2,1,H,2006-2007
83,Everton,Sheffield United,2,0,H,2006-2007
84,Aston Villa,Fulham,1,1,D,2006-2007
85,Manchester United,Liverpool,2,0,H,2006-2007
86,Blackburn Rovers,Bolton Wanderers,0,1,A,2006-2007
87,Middlesbrough,Newcastle United,1,0,H,2006-2007
88,Tottenham Hotspur,West Ham United,1,0,H,2006-2007
89,Reading,Arsenal,0,4,A,2006-2007
90,Sheffield United,Chelsea,0,2,A,2006-2007
91,Arsenal,Everton,1,1,D,2006-2007
92,Bolton Wanderers,Manchester United,0,4,A,2006-2007
93,Fulham,Wigan Athletic,0,1,A,2006-2007
94,Liverpool,Aston Villa,3,1,H,2006-2007
95,Portsmouth,Reading,3,1,H,2006-2007
96,Watford,Tottenham Hotspur,0,0,D,2006-2007
97,Newcastle United,Charlton Athletic,0,0,D,2006-2007
98,West Ham United,Blackburn Rovers,2,1,H,2006-2007
99,Manchester City,Middlesbrough,1,0,H,2006-2007
100,Fulham,Everton,1,0,H,2006-2007
101,Bolton Wanderers,Wigan Athletic,0,1,A,2006-2007
